Unnamed: 0,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,clean_course_title,Year,Month,Day,Profit,course_title_len
0,1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,,200.0,2147,23,51,All Levels,1.5 hours,2017-01-18,Business Finance,Ultimate Investment Banking Course,2017,1,18,429400.0,34
1,1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,,75.0,2792,923,274,All Levels,39 hours,2017-03-09,Business Finance,Complete GST Course  Certification  Grow Practice,2017,3,9,209400.0,59
2,1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,,45.0,2174,74,51,Intermediate Level,2.5 hours,2016-12-19,Business Finance,Financial Modeling Business Analysts Consultants,2016,12,19,97830.0,56
3,1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,,95.0,2451,11,36,All Levels,3 hours,2017-05-30,Business Finance,Beginner Pro  Financial Analysis Excel 2017,2017,5,30,232845.0,50
4,1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,,200.0,1276,45,26,Intermediate Level,2 hours,2016-12-13,Business Finance,Maximize Profits Trading Options,2016,12,13,255200.0,44
5,192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,,150.0,9221,138,25,All Levels,3 hours,2014-05-02,Business Finance,Trading Penny Stocks Guide Levels 2017,2014,5,2,1383150.0,52
6,739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,,65.0,1540,178,26,Beginner Level,1 hour,2016-02-21,Business Finance,Investing Trading Beginners Mastering Price Charts,2016,2,21,100100.0,59
7,403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,,95.0,2917,148,23,All Levels,2.5 hours,2015-01-30,Business Finance,Trading Stock Chart Patterns Immediate Explosive Gains,2015,1,30,277115.0,59
8,476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,,195.0,5172,34,38,Expert Level,2.5 hours,2015-05-28,Business Finance,Options Trading 3  Advanced Stock Profit Success Method,2015,5,28,1008540.0,60
9,1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,,200.0,827,14,15,All Levels,1 hour,2017-04-18,Business Finance,Investment Strategy Need Retirement,2017,4,18,165400.0,57
10,592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,,200.0,4284,93,76,All Levels,5 hours,2015-09-11,Business Finance,Forex Trading Secrets Pros Amazons AWS,2015,9,11,856800.0,51
11,975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,,200.0,1380,42,17,All Levels,1 hour,2016-10-18,Business Finance,Trading Options Money Flow,2016,10,18,276000.0,31
12,742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,,30.0,3607,21,19,All Levels,1.5 hours,2016-02-03,Business Finance,Financial Management Risk Return Securities,2016,2,3,108210.0,51
13,794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,,195.0,4061,52,16,All Levels,2 hours,2016-03-16,Business Finance,Forex Trading Course Work Smarter Harder Proven Results,2016,3,16,791895.0,60
14,1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,,200.0,294,19,42,All Levels,7 hours,2017-04-28,Business Finance,Python Algo Trading Sentiment Trading News,2017,4,28,58800.0,48
15,504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,,75.0,2276,106,19,Intermediate Level,1.5 hours,2015-06-22,Business Finance,Short Selling Learn Sell Stocks Fall,2015,6,22,170700.0,51
16,719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,,20.0,4919,79,16,Beginner Level,1.5 hours,2016-01-08,Business Finance,Basic Technical Analysis Learn structure market,2016,1,8,98380.0,59
17,564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,,200.0,2666,115,52,All Levels,4 hours,2015-08-10,Business Finance,Complete Chart Pattern Trading Course Proven Approach,2015,8,10,533200.0,60
18,606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,,50.0,5354,24,23,All Levels,1.5 hours,2015-09-21,Business Finance,7 Deadly Mistakes Investing Slash Profits,2015,9,21,267700.0,60
19,58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,,95.0,8095,249,12,Beginner Level,35 mins,2013-06-09,Business Finance,Financial Statements Easy,2013,6,9,769025.0,30
20,1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,,200.0,809,3,25,All Levels,2 hours,2017-06-06,Business Finance,Winning Forex Trading Live Forex Trading Examples,2017,6,6,161800.0,54
